LocationID,ApogeeID
600,2301,2M07390587+2236294
601,4610,2M07390813+1556222
602,2074,2M07391882+3837562
603,2073,2M07395919+4615189
604,4530,2M07401637+6451133
605,4530,2M07404251+6643075
606,4222,2M07412047+3711185
607,4291,2M07412162+0910207
608,4531,2M07413927+5305101
609,2301,2M07415938+2318223
610,2073,2M07420767+4748473
611,4291,2M07421515+1045108
612,2085,2M07430723+2915508
613,2077,2M07433126+4435199
614,2301,2M07434954+2317392
615,2077,2M07440107+4409032
616,2301,2M07440327+2324356
617,2077,2M07441849+4420555
618,2079,2M07443374+4059295
619,2301,2M07450147+2213360
620,2073,2M07452699+4701287
621,2098,2M07454706+4849319
622,2079,2M07463460+4130403
623,2080,2M07464731+4323181
624,4531,2M07472538+5247100
625,2077,2M07482344+4543241
626,2079,2M07482418+4223201
627,2079,2M07485530+4026313
628,2081,2M07490823+4850519
629,2084,2M07492268+2631545
630,2079,2M07492975+4040236
631,2077,2M07495255+4517441
632,2079,2M07502579+4147049
633,2077,2M07503313+4450546
634,2085,2M07504475+2857339
635,2292,2M07513604+3525093
636,2077,2M07514421+4554496
637,2098,2M07521399+4715146
638,2081,2M07530855+4955503
639,4531,2M07535725+5354137
640,4531,2M07541885+5200114
641,2088,2M07543136+2607441
642,2086,2M07543472+2603177
643,2286,2M07544617+5107504
644,2286,2M07544693+5155101
645,4531,2M07551518+5355112
646,2288,2M07552365+3928120
647,2088,2M07554889+2702401
648,2079,2M07563173+4229265
649,2292,2M07564124+3638375
650,2088,2M07564310+2704198
651,2088,2M07573331+2820297
652,2082,2M07573974+4250339
653,2292,2M07575121+3505480
654,2081,2M07581939+4801200
655,2081,2M07582727+4841494
656,2290,2M07590763+5104339
657,2291,2M07592443+5230149
658,2289,2M08004884+4612300
659,2290,2M08013097+5103549
660,2290,2M08024047+4936282
661,2289,2M08025363+4628547
662,2082,2M08030479+4238040
663,2081,2M08032142+4820521
664,2290,2M08033685+5015382
665,2082,2M08034311+4323270
666,2081,2M08034326+4837519
667,2082,2M08040228+4121273
668,2287,2M08083621+5358020
669,4103,2M08104256+3051570
670,4103,2M08115373+3212036
671,4103,2M08122061+3106141
672,4103,2M08123994+3147441
673,4295,2M08132215-1246517
674,2291,2M08142685+5331378
675,4103,2M08165864+3202156
676,4103,2M08165939+3207048
677,4103,2M08181541+3149160
678,2300,2M08184246+4559121
679,2318,2M08185804+2333522
680,2300,2M08202415+4633577
681,2318,2M08212195+2520100
682,2318,2M08213828+2531362
683,2109,2M08214303+1727499
684,2109,2M08220946+1725151
685,4533,2M08224748+2823098
686,5127,2M08232713-0056085
687,5127,2M08232729-0107375
688,2300,2M08233585+4611432
689,2300,2M08240245+4519544
690,2318,2M08241424+2514403
691,2318,2M08245483+2310368
692,5127,2M08250255+0025367
693,2318,2M08255189+2427045
694,2109,2M08283840+1901225
695,2109,2M08285567+1845495
696,5127,2M08300319+0026563
697,5127,2M08304890+0004465
